CoC,Total_Year_Round_Beds_ES_TH_SH,Total_Non_DV_Year_Round_Beds_ES_TH_SH,Total_HMIS_Year_Round_Beds_ES_TH_SH,HMIS_Participation_Rate_ES_TH_SH,Total_Emergency_Shelter_ES_Beds_excluding_seasonal_OV,Total_Transitional_Housing_TH_Beds,Total_Safe_Haven_SH_Beds,Total_Units_for_Households_with_Children_ES_TH,Total_Beds_for_Households_with_Children_ES_TH,Total_Beds_for_Households_without_Children_ES_TH_SH,Total_Year_Round_ES_Beds,Total_Non_DV_Year_Round_ES_Beds,Total_HMIS_Year_Round_ES_Beds,ES_HMIS_Participation_Rate,Total_Seasonal_ES_Beds,Total_OverflowVoucher_ES_Beds,Total_ES_Units_for_Households_with_Children,Total_ES_Beds_for_Households_with_Children,Total_ES_Beds_for_Households_without_Children,Total_TH_Beds,Total_Year_Round_TH_Beds,Total_Non_DV_Year_Round_TH_Beds,Total_HMIS_Year_Round_TH_Beds,TH_HMIS_Participation_Rate,Total_TH_Units_for_Households_with_Children,Total_TH_Beds_for_Households_with_Children,Total_TH_Beds_for_Households_without_Children,Total_SH_Beds,Total_Year_Round_SH_Beds,Total_Non_DV_Year_Round_SH_Beds,Total_HMIS_Year_Round_SH_Beds,SH_HMIS_Participation_Rate,Total_SH_Beds_for_Households_without_Children,Total_PSH_Beds,Total_Year_Round_PSH_Beds,Total_Non_DV_Year_Round_PSH_Beds,Total_HMIS_Year_Round_PSH_Beds,PSH_HMIS_Participation_Rate,Total_Chronic_Homeless_PSH_Beds,Total_PSH_Units_for_Households_with_Children,Total_PSH_Beds_for_Households_with_Children,Total_PSH_Beds_for_Households_without_Children
IL-501,526,408,292,0.716,244,282,0,106,234,292,244,156,146,0.936,0,29,41,92,152,282,282,252,146,0.579,65,142,140,0,0,0,0,0.0,0,190,190,190,141,0.742,4,16,38,152
IL-502,354,270,208,0.77,105,234,15,67,215,139,105,70,70,1,118,41,28,85,20,234,234,185,123,0.665,39,130,104,15,15,15,15,1.0,15,96,96,96,86,0.896,45,10,25,71
IL-503,356,324,198,0.611,47,309,0,37,109,247,47,31,10,0.323,8,6,5,11,36,309,309,293,188,0.642,32,98,211,0,0,0,0,0.0,0,112,112,112,87,0.777,67,18,41,71
IL-504,244,208,186,0.894,118,126,0,61,200,44,118,82,82,1,0,40,28,77,41,126,126,126,104,0.825,33,123,3,0,0,0,0,0.0,0,104,104,104,104,1.0,37,10,28,76
IL-505,113,65,63,0.969,32,81,0,24,67,46,32,0,0,0,0,10,8,24,8,81,81,65,63,0.969,16,43,38,0,0,0,0,0.0,0,45,45,45,41,0.911,24,0,0,45
IL-506,433,393,393,1,142,291,0,91,277,156,142,122,122,1,0,275,14,44,98,291,291,271,271,1,77,233,58,0,0,0,0,0.0,0,310,310,310,212,0.684,85,45,129,181
IL-507,573,472,374,0.792,327,246,0,66,302,271,327,252,202,0.802,0,0,37,151,176,246,246,220,172,0.782,29,151,95,0,0,0,0,0.0,0,288,288,288,204,0.708,76,39,134,154
IL-508,260,228,186,0.816,148,112,0,59,168,92,148,116,74,0.638,0,20,28,82,66,112,112,112,112,1,31,86,26,0,0,0,0,0.0,0,202,202,202,202,1.0,40,38,99,103
IL-509,89,55,34,0.618,21,68,0,25,67,22,21,21,0,0,0,10,1,1,20,68,68,34,34,1,24,66,2,0,0,0,0,0.0,0,80,80,80,80,1.0,0,0,0,80
IL-510,6145,5912,3861,0.653,2451,3653,41,878,3035,3110,2451,2412,945,0.392,140,500,126,589,1862,3653,3653,3459,2875,0.831,752,2446,1207,41,41,41,41,1.0,41,7982,7982,7982,5473,0.686,2081,871,2605,5377
IL-511,899,790,781,0.989,165,719,15,182,657,242,165,81,81,1,330,4,11,88,77,719,719,694,685,0.987,171,569,150,15,15,15,15,1.0,15,364,364,364,216,0.593,79,47,142,222
IL-512,494,448,362,0.808,306,164,24,80,248,246,306,260,219,0.842,39,128,37,113,193,164,164,164,119,0.726,43,135,29,24,24,24,24,1.0,24,93,93,93,93,1.0,16,13,43,50
IL-513,241,209,209,1,127,114,0,24,73,168,127,95,95,1,50,0,7,26,101,114,114,114,114,1,17,47,67,0,0,0,0,0.0,0,119,119,119,116,0.975,42,16,40,79
IL-514,708,647,647,1,200,508,0,137,416,292,200,164,164,1,0,3,17,48,152,508,508,483,483,1,120,368,140,0,0,0,0,0.0,0,258,258,258,258,1.0,86,40,129,129
IL-515,186,142,80,0.563,73,113,0,47,160,26,73,43,0,0,0,0,14,51,22,113,113,99,80,0.808,33,109,4,0,0,0,0,0.0,0,20,20,20,20,1.0,0,7,15,5
IL-516,218,190,144,0.758,121,90,7,47,109,109,121,93,47,0.505,15,4,16,36,85,90,90,90,90,1,31,73,17,7,7,7,7,1.0,7,98,98,98,98,1.0,39,17,43,55
IL-517,461,418,418,1,320,141,0,53,170,291,320,288,288,1,0,8,26,88,232,141,141,130,130,1,27,82,59,0,0,0,0,0.0,0,89,89,89,89,1.0,60,0,0,89
IL-518,401,340,230,0.676,156,245,0,70,215,186,156,116,36,0.31,72,0,14,50,106,245,245,224,194,0.866,56,165,80,0,0,0,0,0.0,0,18,18,18,18,1.0,0,0,0,18
IL-519,203,170,57,0.335,54,149,0,50,133,70,54,28,0,0,0,154,13,27,27,149,149,142,57,0.401,37,106,43,0,0,0,0,0.0,0,53,53,53,53,1.0,0,11,53,0
IL-520,450,341,216,0.633,314,136,0,82,238,212,314,233,152,0.652,0,7,54,150,164,136,136,108,64,0.593,28,88,48,0,0,0,0,0.0,0,202,202,168,124,0.738,3,39,121,81
IN-500,601,453,443,0.978,168,433,0,91,291,310,168,112,112,1,0,40,30,80,88,433,433,341,331,0.971,61,211,222,0,0,0,0,0.0,0,106,106,98,98,1.0,19,8,24,82
IN-502,4798,3833,2402,0.627,2737,2061,0,854,2625,2173,2737,2091,1209,0.578,115,326,389,1255,1482,2061,2061,1742,1193,0.685,465,1370,691,0,0,0,0,0.0,0,824,824,824,824,1.0,186,103,287,537
IN-503,2262,1893,530,0.28,855,1382,25,222,809,1453,855,605,220,0.364,156,33,129,483,372,1382,1382,1263,285,0.226,93,326,1056,25,25,25,25,1.0,25,1599,1599,1599,667,0.417,325,370,870,729
KS-501,210,187,106,0.567,41,169,0,28,113,97,41,41,16,0.39,0,0,3,12,29,169,169,146,90,0.616,25,101,68,0,0,0,0,0.0,0,18,18,18,13,0.722,16,0,0,18
KS-502,576,471,271,0.575,359,197,20,106,278,298,359,292,118,0.404,130,0,44,130,229,197,197,159,133,0.836,62,148,49,20,20,20,20,1.0,20,424,424,424,282,0.665,146,41,114,310
KS-503,351,335,315,0.94,249,102,0,34,137,214,249,233,233,1,0,30,22,69,180,102,102,102,82,0.804,12,68,34,0,0,0,0,0.0,0,431,431,431,431,1.0,99,54,195,236
KS-505,176,118,118,1,99,77,0,46,158,18,99,59,59,1,0,0,27,88,11,77,77,59,59,1,19,70,7,0,0,0,0,0.0,0,35,35,35,17,0.486,5,2,12,23
KS-507,1474,1111,679,0.611,874,600,0,238,789,685,874,539,372,0.69,23,84,131,484,390,600,600,572,307,0.537,107,305,295,0,0,0,0,0.0,0,116,116,116,84,0.724,30,11,20,96
KY-500,2647,2003,1774,0.886,1294,1353,0,639,1643,1004,1294,931,749,0.805,67,39,186,535,759,1353,1353,1072,1025,0.956,453,1108,245,0,0,0,0,0.0,0,917,917,725,696,0.96,172,249,516,401
KY-501,1433,1304,1228,0.942,891,532,10,154,411,1022,891,825,797,0.966,0,128,66,185,706,532,532,469,421,0.898,88,226,306,10,10,10,10,1.0,10,1260,1260,1260,906,0.719,120,228,643,617
KY-502,1476,1413,871,0.616,476,998,2,177,489,987,476,413,273,0.661,0,0,36,119,357,998,998,998,596,0.597,141,370,628,2,2,2,2,1.0,2,452,452,392,214,0.546,76,55,159,293
LA-500,771,611,510,0.835,256,515,0,147,428,343,256,142,140,0.986,0,74,36,126,130,515,515,469,370,0.789,111,302,213,0,0,0,0,0.0,0,103,103,103,89,0.864,15,12,47,56
LA-501,202,137,44,0.321,124,78,0,17,93,109,124,59,20,0.339,0,1,13,65,59,78,78,78,24,0.308,4,28,50,0,0,0,0,0.0,0,183,183,183,143,0.781,0,33,86,97
LA-502,1104,909,840,0.924,393,701,10,142,595,509,393,211,211,1,0,15,64,233,160,701,701,688,619,0.9,78,362,339,10,10,10,10,1.0,10,204,204,204,204,1.0,89,9,28,176
LA-503,1346,1302,1086,0.834,587,744,15,187,549,797,587,572,388,0.678,124,0,51,171,416,744,744,715,683,0.955,136,378,366,15,15,15,15,1.0,15,1408,1408,1408,1394,0.99,322,147,479,929
LA-504,851,791,523,0.661,205,646,0,44,123,728,205,145,139,0.959,0,100,31,94,111,646,646,646,384,0.594,13,29,617,0,0,0,0,0.0,0,330,330,330,330,1.0,19,47,117,213
LA-505,302,153,153,1,119,183,0,54,173,129,119,85,85,1,0,36,8,35,84,183,183,68,68,1,46,138,45,0,0,0,0,0.0,0,97,97,97,97,1.0,16,5,17,80
LA-506,232,154,84,0.545,65,167,0,45,127,105,65,46,11,0.239,0,10,6,24,41,167,167,108,73,0.676,39,103,64,0,0,0,0,0.0,0,247,247,237,237,1.0,55,35,120,127
LA-507,228,192,111,0.578,88,140,0,10,17,211,88,52,28,0.538,0,32,4,4,84,140,140,140,83,0.593,6,13,127,0,0,0,0,0.0,0,57,57,57,45,0.789,35,6,8,49
LA-508,112,101,65,0.644,63,49,0,19,44,68,63,52,52,1,0,0,13,32,31,49,49,49,13,0.265,6,12,37,0,0,0,0,0.0,0,212,212,184,124,0.674,2,28,98,114
MA-500,5350,5135,4826,0.94,3734,1610,6,976,2965,2385,3734,3638,3547,0.975,40,23,792,2470,1264,1610,1610,1491,1273,0.854,184,495,1115,6,6,6,6,1.0,6,4427,4427,4397,2998,0.682,1858,415,1044,3383
MA-501,1406,1334,949,0.711,993,407,6,274,947,459,993,933,756,0.81,26,177,253,887,106,407,407,395,193,0.489,21,60,347,6,6,6,0,0.0,6,324,324,324,65,0.201,135,14,35,289
MA-502,407,299,299,1,266,141,0,82,260,147,266,195,195,1,0,0,65,221,45,141,141,104,104,1,17,39,102,0,0,0,0,0.0,0,265,265,250,236,0.944,20,20,45,220
MA-503,348,290,255,0.879,271,77,0,76,192,156,271,213,210,0.986,0,0,71,178,93,77,77,77,45,0.584,5,14,63,0,0,0,0,0.0,0,259,259,259,227,0.876,151,2,5,254
MA-504,917,823,315,0.383,609,302,6,193,626,291,609,561,251,0.447,65,4,137,465,144,302,302,256,58,0.227,56,161,141,6,6,6,6,1.0,6,364,364,364,221,0.607,147,27,80,284
MA-505,421,387,375,0.969,155,266,0,39,139,282,155,121,109,0.901,0,7,29,113,42,266,266,266,266,1,10,26,240,0,0,0,0,0.0,0,303,303,281,260,0.925,29,70,193,110
MA-506,1479,1418,1241,0.875,959,520,0,345,998,481,959,932,779,0.836,0,26,224,641,318,520,520,486,462,0.951,121,357,163,0,0,0,0,0.0,0,732,732,732,598,0.817,220,107,252,480
MA-507,130,106,97,0.915,63,67,0,20,58,72,63,39,39,1,0,5,16,41,22,67,67,67,58,0.866,4,17,50,0,0,0,0,0.0,0,67,67,67,3,0.045,29,3,6,61
MA-508,522,458,423,0.924,252,270,0,118,391,131,252,243,243,1,35,0,65,248,4,270,270,215,180,0.837,53,143,127,0,0,0,0,0.0,0,188,188,173,12,0.069,36,20,61,127
MA-509,384,349,345,0.989,247,137,0,48,120,264,247,228,224,0.982,24,97,27,68,179,137,137,121,121,1,21,52,85,0,0,0,0,0.0,0,216,216,202,202,1.0,112,12,28,188
MA-510,839,789,752,0.953,673,160,6,241,656,183,673,659,635,0.964,24,53,197,570,103,160,160,124,111,0.895,44,86,74,6,6,6,6,1.0,6,218,218,218,191,0.876,106,11,42,176
MA-511,242,224,224,1,202,40,0,43,125,117,202,184,184,1,0,82,29,85,117,40,40,40,40,1,14,40,0,0,0,0,0,0.0,0,302,302,302,264,0.874,72,52,146,156
MA-512,398,398,158,0.397,219,179,0,111,326,72,219,219,80,0.365,0,47,57,162,57,179,179,179,78,0.436,54,164,15,0,0,0,0,0.0,0,188,188,188,46,0.245,45,4,14,174
MA-513,134,134,132,0.985,107,27,0,39,123,11,107,107,105,0.981,0,191,31,107,0,27,27,27,27,1,8,16,11,0,0,0,0,0.0,0,158,158,158,158,1.0,45,43,109,49
MA-515,276,266,216,0.812,156,120,0,53,184,92,156,146,145,0.993,10,6,29,124,32,120,120,120,71,0.592,24,60,60,0,0,0,0,0.0,0,116,116,116,116,1.0,28,17,52,64
MA-516,857,804,565,0.703,690,167,0,248,707,150,690,663,424,0.64,0,248,210,612,78,167,167,141,141,1,38,95,72,0,0,0,0,0.0,0,300,300,246,174,0.707,36,26,66,234
MA-517,146,125,119,0.952,115,31,0,24,73,73,115,94,94,1,0,0,21,67,48,31,31,31,25,0.806,3,6,25,0,0,0,0,0.0,0,154,154,154,123,0.799,37,19,42,112
MA-518,424,366,359,0.981,319,105,0,124,356,68,319,310,310,1,0,0,87,262,57,105,105,56,49,0.875,37,94,11,0,0,0,0,0.0,0,137,137,125,97,0.776,59,4,12,125
MA-519,151,123,123,1,65,86,0,33,108,43,65,53,53,1,0,0,13,44,21,86,86,70,70,1,20,64,22,0,0,0,0,0.0,0,83,83,83,75,0.904,22,9,31,52
MA-520,678,633,566,0.894,578,100,0,165,554,124,578,566,566,1,18,225,140,494,84,100,100,67,0,0,25,60,40,0,0,0,0,0.0,0,80,80,80,77,0.963,42,13,35,45
MD-500,113,93,53,0.57,60,53,0,26,85,28,60,40,0,0,15,30,11,39,21,53,53,53,53,1,15,46,7,0,0,0,0,0.0,0,107,107,107,79,0.738,16,25,68,39
MD-501,2285,2285,1730,0.757,1009,1237,39,250,628,1657,1009,1009,741,0.734,107,60,88,210,799,1237,1237,1237,950,0.768,162,418,819,39,39,39,39,1.0,39,1754,1754,1754,1721,0.981,423,294,751,1003
MD-502,143,115,99,0.861,58,85,0,24,67,76,58,30,30,1,29,29,7,27,31,85,85,85,69,0.812,17,40,45,0,0,0,0,0.0,0,105,105,105,104,0.99,2,28,74,31
MD-503,201,180,180,1,109,92,0,59,160,41,109,88,88,1,50,57,34,83,26,92,92,92,92,1,25,77,15,0,0,0,0,0.0,0,154,154,154,154,1.0,53,29,74,80
MD-504,152,112,105,0.938,65,87,0,25,128,24,65,51,51,1,25,21,10,41,24,87,87,61,54,0.885,15,87,0,0,0,0,0,0.0,0,72,72,72,72,1.0,18,14,39,33
MD-505,517,462,462,1,379,138,0,57,329,188,379,348,348,1,25,0,21,214,165,138,138,114,114,1,36,115,23,0,0,0,0,0.0,0,227,227,227,227,1.0,24,60,194,33
MD-506,194,186,130,0.699,40,129,25,27,81,113,40,32,32,1,35,17,9,27,13,129,129,129,73,0.566,18,54,75,25,25,25,25,1.0,25,33,33,33,33,1.0,16,9,17,16
MD-507,133,83,83,1,47,86,0,33,81,52,47,25,25,1,45,2,14,34,13,86,86,58,58,1,19,47,39,0,0,0,0,0.0,0,35,35,35,23,0.657,13,8,20,15
MD-508,268,231,222,0.961,112,156,0,50,193,75,112,85,83,0.976,86,18,19,81,31,156,156,146,139,0.952,31,112,44,0,0,0,0,0.0,0,212,212,212,212,1.0,46,77,166,46
MD-509,225,160,160,1,39,186,0,51,160,65,39,10,10,1,70,0,1,21,18,186,186,150,150,1,50,139,47,0,0,0,0,0.0,0,30,30,30,30,1.0,16,4,9,21
MD-510,41,27,27,1,22,19,0,7,18,23,22,8,8,1,0,0,2,5,17,19,19,19,19,1,5,13,6,0,0,0,0,0.0,0,122,122,122,122,1.0,4,57,109,13
MD-511,52,52,52,1,15,37,0,10,32,20,15,15,15,1,33,6,1,5,10,37,37,37,37,1,9,27,10,0,0,0,0,0.0,0,94,94,94,94,1.0,4,25,63,31
MD-512,241,191,181,0.948,150,91,0,14,68,173,150,108,108,1,59,100,10,60,90,91,91,83,73,0.88,4,8,83,0,0,0,0,0.0,0,110,110,110,110,1.0,7,11,28,82
MD-513,157,138,138,1,109,48,0,26,89,68,109,90,90,1,118,10,14,51,58,48,48,48,48,1,12,38,10,0,0,0,0,0.0,0,147,147,147,146,0.993,16,38,91,56
MD-600,541,520,520,1,229,312,0,101,468,73,229,208,208,1,265,7,29,185,44,312,312,312,312,1,72,283,29,0,0,0,0,0.0,0,463,463,463,431,0.931,28,154,380,83
MD-601,637,583,583,1,248,349,40,111,339,298,248,194,194,1,100,216,45,135,113,349,349,349,349,1,66,204,145,40,40,40,40,1.0,40,1501,1501,1501,1501,1.0,109,331,1030,471
ME-500,1573,1271,1078,0.848,557,1016,0,365,1059,514,557,410,341,0.832,27,47,113,321,236,1016,1016,861,737,0.856,252,738,278,0,0,0,0,0.0,0,1191,1191,1185,1049,0.885,65,174,541,650
ME-501,480,430,404,0.94,150,330,0,79,267,213,150,129,127,0.984,2,15,15,30,120,330,330,301,277,0.92,64,237,93,0,0,0,0,0.0,0,309,309,286,254,0.888,23,34,82,227
ME-502,671,657,640,0.974,340,331,0,94,258,413,340,326,326,1,0,45,31,97,243,331,331,331,314,0.949,63,161,170,0,0,0,0,0.0,0,370,370,370,348,0.941,57,40,131,239
MI-500,2505,1639,1484,0.905,1123,1382,0,578,1736,769,1123,585,534,0.913,35,80,195,609,514,1382,1382,1054,950,0.901,383,1127,255,0,0,0,0,0.0,0,3607,3607,3507,3093,0.882,188,915,2836,771
MI-501,2911,2778,2472,0.89,1533,1357,21,259,705,2206,1533,1466,1388,0.947,396,95,133,369,1164,1357,1357,1291,1063,0.823,126,336,1021,21,21,21,21,1.0,21,2733,2733,2733,1337,0.489,248,532,1627,1106
MI-502,464,365,341,0.934,124,324,16,88,323,141,124,79,71,0.899,80,13,23,88,36,324,324,270,254,0.941,65,235,89,16,16,16,16,1.0,16,252,252,252,252,1.0,39,53,171,81
MI-503,285,243,243,1,157,128,0,43,145,140,157,116,116,1,80,0,13,51,106,128,128,127,127,1,30,94,34,0,0,0,0,0.0,0,577,577,577,577,1.0,21,112,439,138
MI-504,452,406,393,0.968,150,302,0,101,288,164,150,104,104,1,121,19,30,90,60,302,302,302,289,0.957,71,198,104,0,0,0,0,0.0,0,534,534,534,534,1.0,94,78,214,320
MI-505,251,219,105,0.479,197,54,0,36,101,150,197,165,61,0.37,0,4,30,84,113,54,54,54,44,0.815,6,17,37,0,0,0,0,0.0,0,745,745,745,745,1.0,34,202,575,170
MI-506,675,477,311,0.652,300,375,0,138,471,204,300,238,72,0.303,0,43,29,100,200,375,375,239,239,1,109,371,4,0,0,0,0,0.0,0,608,608,608,592,0.974,290,72,185,423
MI-507,762,663,663,1,440,322,0,159,423,339,440,394,394,1,0,0,41,165,275,322,322,269,269,1,118,258,64,0,0,0,0,0.0,0,645,645,645,638,0.989,23,157,311,334
MI-508,462,432,376,0.87,262,200,0,61,201,261,262,232,188,0.81,0,15,31,98,164,200,200,200,188,0.94,30,103,97,0,0,0,0,0.0,0,190,190,190,173,0.911,120,7,32,158
MI-509,458,411,397,0.966,208,250,0,80,246,212,208,161,161,1,56,50,39,114,94,250,250,250,236,0.944,41,132,118,0,0,0,0,0.0,0,504,504,494,484,0.98,13,66,210,294
MI-510,389,281,274,0.975,151,232,6,46,146,243,151,127,127,1,0,0,19,57,94,232,232,148,141,0.953,27,89,143,6,6,6,6,1.0,6,172,172,159,159,1.0,78,18,53,119
MI-511,133,80,70,0.875,62,71,0,24,103,30,62,26,16,0.615,33,5,7,33,29,71,71,54,54,1,17,70,1,0,0,0,0,0.0,0,73,73,73,73,1.0,7,17,60,13
MI-512,298,195,195,1,103,195,0,60,194,104,103,78,78,1,26,21,7,22,81,195,195,117,117,1,53,172,23,0,0,0,0,0.0,0,328,328,322,108,0.335,16,69,204,124
MI-513,62,30,18,0.6,21,41,0,14,41,21,21,5,0,0,15,1,4,15,6,41,41,25,18,0.72,10,26,15,0,0,0,0,0.0,0,122,122,122,25,0.205,0,31,98,24
MI-514,211,165,143,0.867,124,87,0,38,75,136,124,78,78,1,0,24,32,55,69,87,87,87,65,0.747,6,20,67,0,0,0,0,0.0,0,250,250,203,29,0.143,24,25,70,180
MI-515,177,162,124,0.765,97,80,0,37,86,91,97,82,60,0.732,15,0,27,63,34,80,80,80,64,0.8,10,23,57,0,0,0,0,0.0,0,22,22,22,22,1.0,0,6,20,2
MI-516,407,294,260,0.884,146,261,0,65,263,144,146,128,114,0.891,135,12,7,84,62,261,261,166,146,0.88,58,179,82,0,0,0,0,0.0,0,372,372,372,263,0.707,18,78,229,143
MI-517,268,224,198,0.884,134,134,0,76,181,87,134,113,113,1,0,0,31,76,58,134,134,111,85,0.766,45,105,29,0,0,0,0,0.0,0,30,30,30,30,1.0,0,7,17,13
MI-518,94,50,50,1,36,58,0,23,68,26,36,16,16,1,9,1,8,23,13,58,58,34,34,1,15,45,13,0,0,0,0,0.0,0,13,13,13,13,1.0,1,0,0,13
MI-519,433,321,321,1,158,275,0,82,279,154,158,138,138,1,0,10,16,58,100,275,275,183,183,1,66,221,54,0,0,0,0,0.0,0,201,201,201,201,1.0,8,40,130,71
MI-523,125,93,93,1,42,83,0,22,116,9,42,32,32,1,0,0,8,38,4,83,83,61,61,1,14,78,5,0,0,0,0,0.0,0,9,9,9,9,1.0,4,0,0,9
MN-500,3412,3223,2262,0.702,1941,1471,0,573,2211,1201,1941,1791,1336,0.746,0,500,271,1087,854,1471,1471,1432,926,0.647,302,1124,347,0,0,0,0,0.0,0,3882,3882,3882,2545,0.656,639,554,2079,1803
MN-501,1370,1230,863,0.702,520,840,10,258,806,564,520,380,141,0.371,0,0,60,194,326,840,840,840,712,0.848,198,612,228,10,10,10,10,1.0,10,1753,1753,1753,1719,0.981,427,357,1186,567
MN-502,418,259,208,0.803,180,238,0,92,351,67,180,107,64,0.598,23,18,34,130,50,238,238,152,144,0.947,58,221,17,0,0,0,0,0.0,0,392,392,392,392,1.0,103,76,228,164
MN-503,456,383,370,0.966,142,314,0,130,381,75,142,69,56,0.812,0,9,31,100,42,314,314,314,314,1,99,281,33,0,0,0,0,0.0,0,388,388,388,388,1.0,29,99,257,131
MN-504,103,76,64,0.842,30,73,0,22,74,29,30,30,18,0.6,0,0,5,13,17,73,73,46,46,1,17,61,12,0,0,0,0,0.0,0,90,90,79,79,1.0,12,21,57,33
MN-505,545,445,327,0.735,182,363,0,122,375,170,182,92,70,0.761,50,36,30,141,41,363,363,353,257,0.728,92,234,129,0,0,0,0,0.0,0,213,213,213,213,1.0,19,36,118,95
MN-506,269,229,226,0.987,86,183,0,67,190,79,86,55,55,1,20,13,17,48,38,183,183,174,171,0.983,50,142,41,0,0,0,0,0.0,0,283,283,283,280,0.989,34,64,222,61
MN-508,156,146,146,1,78,78,0,32,91,65,78,68,68,1,0,12,6,18,60,78,78,78,78,1,26,73,5,0,0,0,0,0.0,0,206,206,206,201,0.976,30,56,139,67
MN-509,365,315,302,0.959,146,219,0,80,246,119,146,96,83,0.865,0,40,21,59,87,219,219,219,219,1,59,187,32,0,0,0,0,0.0,0,472,472,472,471,0.998,142,67,217,255
MN-510,112,87,83,0.954,29,83,0,32,96,16,29,4,4,1,0,32,8,25,4,83,83,83,79,0.952,24,71,12,0,0,0,0,0.0,0,96,96,96,94,0.979,13,17,42,54
MN-511,119,103,97,0.942,55,64,0,25,79,40,55,39,33,0.846,0,45,12,39,16,64,64,64,64,1,13,40,24,0,0,0,0,0.0,0,71,71,71,70,0.986,14,13,44,27
MO-500,404,272,272,1,275,129,0,97,315,89,275,175,175,1,0,45,63,200,75,129,129,97,97,1,34,115,14,0,0,0,0,0.0,0,275,275,275,275,1.0,27,65,228,47
MO-501,1299,1172,1129,0.963,480,811,8,237,761,538,480,407,376,0.924,31,0,76,196,284,811,811,757,745,0.984,161,565,246,8,8,8,8,1.0,8,1200,1200,1200,1200,1.0,203,388,830,370
MO-503,467,412,44,0.107,126,341,0,96,274,193,126,71,3,0.042,0,182,24,92,34,341,341,341,41,0.12,72,182,159,0,0,0,0,0.0,0,36,36,36,36,1.0,1,9,26,10
MO-600,594,441,323,0.732,124,470,0,121,336,258,124,43,39,0.907,30,0,37,75,49,470,470,398,284,0.714,84,261,209,0,0,0,0,0.0,0,115,115,115,64,0.557,35,35,61,54
MO-602,415,361,361,1,123,292,0,43,155,260,123,123,123,1,0,12,15,43,80,292,292,238,238,1,28,112,180,0,0,0,0,0.0,0,75,75,75,75,1.0,6,23,50,25
MO-603,145,97,80,0.825,107,20,18,15,69,76,107,62,62,1,10,15,13,50,57,20,20,17,0,0,2,19,1,18,18,18,18,1.0,18,212,212,212,212,1.0,30,42,156,56
MO-604,1969,1654,1414,0.855,996,963,10,308,1040,929,996,797,661,0.829,54,188,102,365,631,963,963,847,743,0.877,206,675,288,10,10,10,10,1.0,10,1197,1197,1197,1189,0.993,178,171,574,623
MO-606,2147,1230,700,0.569,1443,693,11,369,1092,1055,1443,618,364,0.589,0,32,273,811,632,693,693,601,325,0.541,96,281,412,11,11,11,11,1.0,11,824,824,824,824,1.0,31,183,513,311
MS-500,466,387,148,0.382,180,286,0,48,145,321,180,126,69,0.548,0,17,18,53,127,286,286,261,79,0.303,30,92,194,0,0,0,0,0.0,0,61,61,61,31,0.508,47,0,0,61
MS-501,805,604,295,0.488,501,304,0,122,357,448,501,319,80,0.251,0,0,70,211,290,304,304,285,215,0.754,52,146,158,0,0,0,0,0.0,0,192,192,145,114,0.786,62,15,53,139
MS-503,105,57,43,0.754,55,50,0,16,37,68,55,31,17,0.548,0,0,6,12,43,50,50,26,26,1,10,25,25,0,0,0,0,0.0,0,52,52,42,42,1.0,33,6,17,35
MT-500,1170,874,460,0.526,649,521,0,203,602,568,649,476,163,0.342,6,171,89,279,370,521,521,398,297,0.746,114,323,198,0,0,0,0,0.0,0,229,229,229,229,1.0,47,18,47,182
NC-500,532,497,340,0.684,298,234,0,60,215,317,298,279,188,0.674,18,45,17,64,234,234,234,218,152,0.697,43,151,83,0,0,0,0,0.0,0,344,344,344,247,0.718,100,77,168,176
NC-501,503,444,376,0.847,169,334,0,51,117,386,169,150,144,0.96,0,55,15,42,127,334,334,294,232,0.789,36,75,259,0,0,0,0,0.0,0,316,316,316,223,0.706,157,20,72,244
NC-502,655,628,333,0.53,334,321,0,57,192,463,334,317,177,0.558,50,42,35,115,219,321,321,311,156,0.502,22,77,244,0,0,0,0,0.0,0,150,150,150,93,0.62,22,34,73,77
NC-503,3202,2364,1525,0.645,2010,1192,0,357,1353,1849,2010,1218,821,0.674,104,107,184,788,1222,1192,1192,1146,704,0.614,173,565,627,0,0,0,0,0.0,0,660,660,660,575,0.871,81,118,345,315
NC-504,982,939,885,0.942,417,565,0,114,436,546,417,417,413,0.99,109,133,42,152,265,565,565,522,472,0.904,72,284,281,0,0,0,0,0.0,0,251,251,251,206,0.821,55,72,149,102
NC-505,1787,1758,1220,0.694,799,988,0,179,531,1256,799,770,711,0.923,130,115,52,183,616,988,988,988,509,0.515,127,348,640,0,0,0,0,0.0,0,462,462,462,462,1.0,141,74,213,249
NC-506,517,404,274,0.678,323,194,0,57,209,308,323,270,193,0.715,0,0,34,115,208,194,194,134,81,0.604,23,94,100,0,0,0,0,0.0,0,124,124,124,100,0.806,0,4,10,114
NC-507,1056,1012,907,0.896,582,474,0,116,351,705,582,538,532,0.989,0,3,67,241,341,474,474,474,375,0.791,49,110,364,0,0,0,0,0.0,0,712,712,712,621,0.872,75,128,324,388
NC-509,199,151,151,1,164,35,0,25,68,131,164,116,116,1,52,21,20,53,111,35,35,35,35,1,5,15,20,0,0,0,0,0.0,0,126,126,126,126,1.0,25,18,59,67
NC-511,282,235,209,0.889,121,161,0,55,176,106,121,107,91,0.85,0,4,9,31,90,161,161,128,118,0.922,46,145,16,0,0,0,0,0.0,0,32,32,32,29,0.906,0,9,27,5
