CoC,Total_Year_Round_Beds_ES_TH_SH,Total_Non_DV_Year_Round_Beds_ES_TH_SH,Total_HMIS_Year_Round_Beds_ES_TH_SH,HMIS_Participation_Rate_ES_TH_SH,Total_Emergency_Shelter_ES_Beds_excluding_seasonal_overflow,Total_Transitional_Housing_TH_Beds,Total_Safe_Haven_SH_Beds,Total_Units_for_Households_with_Children_ES_TH,Total_Beds_for_Households_with_Children_ES_TH,Total_Beds_for_Households_without_Children_ES_TH_SH,Total_Beds_for_Households_with_only_Children_ES_TH_SH,Total_Year_Round_ES_Beds,Total_Non_DV_Year_Round_ES_Beds,Total_HMIS_Year_Round_ES_Beds,ES_HMIS_Participation_Rate,Total_Seasonal_ES_Beds,Total_Overflow_ES_Beds,Total_ES_Units_for_Households_with_Children,Total_ES_Beds_for_Households_with_Children,Total_ES_Beds_for_Households_without_Children,Total_ES_Beds_for_Households_with_only_Children,Total_TH_Beds,Total_Year_Round_TH_Beds,Total_Non_DV_Year_Round_TH_Beds,Total_HMIS_Year_Round_TH_Beds,TH_HMIS_Participation_Rate,Total_TH_Units_for_Households_with_Children,Total_TH_Beds_for_Households_with_Children,Total_TH_Beds_for_Households_without_Children,Total_TH_Beds_for_Households_with_only_Children,Total_SH_Beds,Total_Year_Round_SH_Beds,Total_Non_DV_Year_Round_SH_Beds,Total_HMIS_Year_Round_SH_Beds,SH_HMIS_Participation_Rate,Total_SH_Beds_for_Households_without_Children,Total_SH_Beds_for_Households_with_only_Children,Total_PSH_Beds,Total_Year_Round_PSH_Beds,Total_Non_DV_Year_Round_PSH_Beds,Total_HMIS_Year_Round_PSH_Beds,PSH_HMIS_Participation_Rate,Total_Chronic_Homeless_PSH_Beds,Total_PSH_Units_for_Households_with_Children,Total_PSH_Beds_for_Households_with_Children,Total_PSH_Beds_for_Households_without_Children,Total_PSH_Beds_for_Households_with_only_Children
AR-500,1009,853,633,0.742,494,515,0,110,315,694,0,494,438,243,0.555,0,134,47,116,378,0,515,515,415,390,0.94,63,199,316,.,0,0,0,0,0,0,0,704,704,698,548,0.785,77,110,303,401,0
AR-501,254,207,167,0.807,140,114,0,43,121,133,0,140,93,93,1,0,0,20,55,85,0,114,114,114,74,0.649,23,66,48,.,0,0,0,0,0,0,0,92,92,92,32,0.348,0,0,0,92,0
AR-503,934,790,462,0.585,633,301,0,203,381,553,0,633,513,316,0.616,0,0,148,311,322,0,301,301,277,146,0.527,55,70,231,0,0,0,0,0,0,0,0,130,130,126,3,0.024,7,26,31,99,0
AR-504,178,88,46,0.523,140,38,0,33,86,92,0,140,50,26,0.52,0,20,33,86,54,0,38,38,38,20,0.526,.,.,38,.,0,0,0,0,0,0,0,127,127,127,59,0.465,0,14,18,109,0
AR-505,129,73,0,0,105,24,0,20,44,70,15,105,61,0,0,0,0,10,32,58,15,24,24,12,.,.,10,12,12,.,0,0,0,0,0,0,0,16,16,16,0,0.0,0,4,4,12,0
AR-507,105,90,42,0.467,68,37,0,29,52,53,0,68,53,17,0.321,0,0,20,27,41,0,37,37,37,25,0.676,9,25,12,.,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
AR-512,53,23,23,1,30,23,0,9,38,15,0,30,0,0,0,0,0,6,26,4,0,23,23,23,23,1,3,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
AZ-500,1752,1162,771,0.664,1038,714,0,273,861,885,6,1038,643,325,0.505,140,164,136,446,592,0,714,714,519,446,0.859,137,415,293,6,0,0,0,0,0,0,0,468,468,468,330,0.705,95,65,150,318,0
AZ-501,1845,1694,1664,0.982,677,1153,15,311,971,874,0,677,557,527,0.946,145,44,88,269,408,0,1153,1153,1122,1122,1,223,702,451,0,15,15,15,15,1,15,0,1148,1148,1148,834,0.726,118,114,352,796,0
AZ-502,5641,4700,4076,0.867,2556,3060,25,1005,3316,2325,0,2556,1860,1716,0.923,0,63,357,1200,1356,0,3060,3060,2815,2335,0.829,648,2116,944,0,25,25,25,25,1,25,0,4479,4479,4479,3615,0.807,644,494,1552,2927,0
CA-500,1794,1733,1498,0.864,756,1028,10,267,852,942,0,756,695,693,0.997,346,29,67,252,504,0,1028,1028,1028,795,0.773,200,600,428,.,10,10,10,10,1,10,0,3183,3183,3024,646,0.214,407,522,1767,1416,0
CA-501,2959,2817,2362,0.838,1875,1059,25,325,870,2089,0,1875,1798,1509,0.839,130,0,178,425,1450,0,1059,1059,994,828,0.833,147,445,614,.,25,25,25,25,1,25,0,7588,7588,7588,6879,0.907,4286,510,1432,6156,0
CA-502,2263,2010,1503,0.748,875,1388,0,392,1293,970,0,875,667,450,0.675,185,23,102,447,428,0,1388,1388,1343,1053,0.784,290,846,542,.,0,0,0,0,0,0,0,2280,2280,2250,1852,0.823,469,490,1156,1124,0
CA-503,1660,1606,1195,0.744,649,1011,0,217,685,975,0,649,595,446,0.75,198,26,53,242,407,0,1011,1011,1011,749,0.741,164,443,568,.,0,0,0,0,0,0,0,2176,2176,2176,1785,0.82,334,301,921,1255,0
CA-504,1171,1116,913,0.818,519,652,0,187,564,601,6,519,497,421,0.847,25,23,49,159,354,6,652,652,619,492,0.795,138,405,247,.,0,0,0,0,0,0,0,681,681,671,455,0.678,264,76,284,397,0
CA-505,937,889,603,0.678,484,453,0,126,447,487,3,484,460,312,0.678,39,4,36,172,309,3,453,453,429,291,0.678,90,275,178,.,0,0,0,0,0,0,0,1102,1102,1102,970,0.88,486,216,558,544,0
CA-506,922,854,635,0.744,216,706,0,103,500,422,0,216,148,103,0.696,84,31,16,94,122,0,706,706,706,532,0.754,87,406,300,.,0,0,0,0,0,0,0,236,236,236,80,0.339,123,25,79,157,0
CA-507,531,427,409,0.958,170,361,0,82,275,256,0,170,170,170,1,66,9,14,49,121,0,361,361,257,239,0.93,68,226,135,0,0,0,0,0,0,0,0,476,476,476,473,0.994,203,18,58,418,0
CA-508,607,589,497,0.844,344,263,0,108,348,236,23,344,326,293,0.899,100,6,50,158,186,0,263,263,263,204,0.776,58,190,50,23,0,0,0,0,0,0,0,238,238,238,116,0.487,172,24,55,183,0
CA-509,152,128,106,0.828,103,49,0,8,30,121,1,103,89,88,0.989,0,5,2,12,90,1,49,49,39,18,0.462,6,18,31,.,0,0,0,0,0,0,0,401,401,401,258,0.643,0,95,233,168,0
CA-510,688,648,246,0.38,284,404,0,73,389,282,17,284,260,100,0.385,215,0,20,155,112,17,404,404,388,146,0.376,53,234,170,.,0,0,0,0,0,0,0,346,346,346,342,0.988,166,53,161,185,0
CA-511,1434,1389,1306,0.94,763,671,0,287,990,444,0,763,718,679,0.946,108,77,110,387,376,0,671,671,671,627,0.934,177,603,68,0,0,0,0,0,0,0,0,516,516,516,431,0.835,138,77,205,311,0
CA-512,745,698,679,0.973,141,604,0,126,522,215,8,141,119,110,0.924,20,15,20,79,56,6,604,604,579,569,0.983,106,443,159,2,0,0,0,0,0,0,0,563,563,563,520,0.924,295,44,147,416,0
CA-513,575,415,304,0.733,237,338,0,62,258,317,0,237,167,133,0.796,0,35,29,136,101,0,338,338,248,171,0.69,33,122,216,0,0,0,0,0,0,0,0,123,123,123,50,0.407,13,17,60,63,0
CA-514,1036,877,617,0.704,368,644,24,198,642,372,22,368,258,20,0.078,0,0,94,290,58,20,644,644,595,573,0.963,104,352,290,2,24,24,24,24,1,24,0,676,676,676,377,0.558,266,139,419,257,0
CA-515,505,411,278,0.676,195,310,0,90,284,221,0,195,138,138,1,0,5,26,95,100,0,310,310,273,140,0.513,64,189,121,0,0,0,0,0,0,0,0,139,139,139,129,0.928,60,14,43,96,0
CA-516,500,500,442,0.884,128,372,0,70,186,314,0,128,128,128,1,0,41,4,36,92,0,372,372,372,314,0.844,66,150,222,.,0,0,0,0,0,0,0,34,34,34,34,1.0,34,0,0,34,0
CA-517,140,106,100,0.943,85,55,0,27,65,75,0,85,81,81,1,50,2,10,21,64,0,55,55,25,19,0.76,17,44,11,.,0,0,0,0,0,0,0,32,32,32,30,0.938,14,0,0,32,0
CA-518,514,468,333,0.712,190,324,0,64,280,230,4,190,157,92,0.586,0,18,40,125,65,0,324,324,311,241,0.775,24,155,165,4,0,0,0,0,0,0,0,105,105,105,52,0.495,105,8,16,89,0
CA-519,417,387,210,0.543,230,187,0,35,128,289,0,230,208,120,0.577,0,0,9,30,200,0,187,187,179,90,0.503,26,98,89,.,0,0,0,0,0,0,0,231,231,231,201,0.87,39,56,163,68,0
CA-520,202,192,117,0.609,91,111,0,11,30,172,0,91,81,81,1,0,2,2,6,85,0,111,111,111,36,0.324,9,24,87,.,0,0,0,0,0,0,0,14,14,14,14,1.0,11,0,0,14,0
CA-521,292,264,238,0.902,95,197,0,40,154,135,3,95,67,55,0.821,35,2,8,34,58,3,197,197,197,183,0.929,32,120,77,0,0,0,0,0,0,0,0,126,126,126,44,0.349,45,6,19,107,0
CA-522,394,373,305,0.818,234,160,0,71,180,197,17,234,213,145,0.681,55,45,38,87,142,5,160,160,160,160,1,33,93,55,12,0,0,0,0,0,0,0,33,33,33,33,1.0,33,2,9,24,0
CA-523,214,157,82,0.522,72,142,0,39,183,31,0,72,15,3,0.2,28,8,14,69,3,0,142,142,142,79,0.556,25,114,28,.,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
CA-524,342,277,0,0,162,180,0,36,153,189,0,162,109,0,0,50,14,12,53,109,0,180,180,168,0,0,24,100,80,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
CA-525,190,161,0,0,63,127,0,30,58,116,16,63,37,0,0,48,0,16,34,13,16,127,127,124,0,0,14,24,103,.,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
CA-526,186,114,83,0.728,102,84,0,35,125,61,0,102,54,50,0.926,0,2,20,61,41,0,84,84,60,33,0.55,15,64,20,0,0,0,0,0,0,0,0,13,13,13,13,1.0,4,0,0,13,0
CA-528,28,0,0,.,28,0,0,8,28,0,0,28,0,.,.,.,.,8,28,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
CA-600,12758,11365,7486,0.659,4477,8260,21,1388,4700,7952,106,4477,3894,2137,0.549,1442,2217,428,1460,2923,94,8260,8260,7450,5328,0.715,960,3240,5008,12,21,21,21,21,1,21,0,20802,20802,20707,7456,0.36,3001,3404,11407,9395,0
CA-601,4334,3783,3624,0.958,474,3801,59,502,1993,2285,56,474,306,267,0.873,613,80,26,170,284,20,3801,3801,3418,3298,0.965,476,1823,1942,36,59,59,59,59,1,59,0,2421,2421,2421,2205,0.911,295,209,967,1454,0
CA-602,2377,1976,1467,0.742,387,1990,0,483,1656,697,24,387,196,116,0.592,907,0,39,169,194,24,1990,1990,1780,1351,0.759,444,1487,503,0,0,0,0,0,0,0,0,1613,1613,1613,1613,1.0,630,158,350,1263,0
CA-603,788,685,373,0.545,432,356,0,89,381,399,8,432,380,196,0.516,190,12,36,216,208,8,356,356,305,177,0.58,53,165,191,.,0,0,0,0,0,0,0,580,580,580,169,0.291,181,58,182,398,0
CA-604,685,593,581,0.98,464,221,0,46,246,439,0,464,406,406,1,0,82,33,198,266,0,221,221,187,175,0.936,13,48,173,.,0,0,0,0,0,0,0,813,813,813,783,0.963,152,139,395,418,0
CA-605,279,249,205,0.823,22,247,10,49,183,96,0,22,4,0,0,264,0,5,18,4,0,247,247,235,195,0.83,44,165,82,.,10,10,10,10,1,10,0,338,338,338,266,0.787,79,28,71,267,0
CA-606,1063,885,569,0.643,355,683,25,109,418,645,0,355,285,103,0.361,130,0,41,169,186,0,683,683,575,441,0.767,68,249,434,.,25,25,25,25,1,25,0,755,755,755,294,0.389,204,72,222,533,0
CA-607,249,218,187,0.858,121,128,0,34,144,105,0,121,90,90,1,242,8,6,75,46,0,128,128,128,97,0.758,28,69,59,.,0,0,0,0,0,0,0,187,187,187,184,0.984,96,10,32,155,0
CA-608,1340,1166,1166,1,611,729,0,208,696,607,37,611,491,491,1,72,0,69,218,356,37,729,729,675,675,1,139,478,251,0,0,0,0,0,0,0,0,634,634,634,584,0.921,190,101,130,504,0
CA-609,1200,929,741,0.798,383,817,0,238,902,298,0,383,302,136,0.45,70,76,59,205,178,0,817,817,627,605,0.965,179,697,120,.,0,0,0,0,0,0,0,401,401,401,345,0.86,114,63,157,244,0
CA-611,140,140,19,0.136,64,76,0,14,73,67,0,64,64,0,0,0,0,2,33,31,0,76,76,76,19,0.25,12,40,36,.,0,0,0,0,0,0,0,50,50,50,25,0.5,13,0,0,50,0
CA-612,142,132,132,1,50,92,0,31,130,12,0,50,40,40,1,50,0,2,38,12,0,92,92,92,92,1,29,92,0,.,0,0,0,0,0,0,0,80,80,80,80,1.0,31,9,22,58,0
CA-613,188,188,168,0.894,112,76,0,81,133,55,0,112,112,112,1,0,0,57,57,55,0,76,76,76,56,0.737,24,76,.,.,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
CA-614,203,135,63,0.467,130,73,0,19,70,133,0,130,98,30,0.306,10,41,9,36,94,0,73,73,37,33,0.892,10,34,39,.,0,0,0,0,0,0,0,71,71,71,21,0.296,13,1,2,69,0
CO-500,1052,751,742,0.988,573,479,0,133,794,258,0,573,362,353,0.975,40,59,32,386,187,0,479,479,389,389,1,101,408,71,0,0,0,0,0,0,0,0,469,469,469,339,0.723,213,17,55,414,0
CO-503,4674,4431,4003,0.903,1574,3075,25,969,2374,2183,117,1574,1343,1148,0.855,361,455,263,668,890,16,3075,3075,3063,2830,0.924,706,1706,1268,101,25,25,25,25,1,25,0,2238,2238,2238,2173,0.971,740,314,776,1462,0
CO-504,810,778,699,0.898,348,462,0,91,339,471,0,348,316,303,0.959,0,115,28,126,222,0,462,462,462,396,0.857,63,213,249,0,0,0,0,0,0,0,0,285,285,285,177,0.621,134,27,86,199,0
CT-501,614,614,544,0.886,342,272,0,87,264,346,4,342,342,342,1,87,25,50,164,174,4,272,272,272,202,0.743,37,100,172,0,0,0,0,0,0,0,0,863,863,863,600,0.695,234,102,308,555,0
CT-502,585,569,547,0.961,261,324,0,63,177,408,0,261,245,245,1,163,0,20,50,211,0,324,324,324,302,0.932,43,127,197,.,0,0,0,0,0,0,0,714,714,714,630,0.882,494,58,153,561,0
CT-503,443,419,384,0.916,234,209,0,58,224,219,0,234,219,219,1,0,26,33,135,99,0,209,209,200,165,0.825,25,89,120,.,0,0,0,0,0,0,0,1036,1036,1030,507,0.492,387,195,572,464,0
CT-505,1369,1161,1068,0.92,882,487,0,207,617,752,0,882,746,703,0.942,198,47,124,385,497,0,487,487,415,365,0.88,83,232,255,.,0,0,0,0,0,0,0,1889,1889,1847,1410,0.763,623,274,813,1076,0
CT-506,150,150,135,0.9,150,0,0,8,56,94,0,150,150,135,0.9,2,6,8,56,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,163,163,163,1.0,119,16,42,121,.
CT-508,217,202,202,1,128,89,0,42,99,118,0,128,113,113,1,0,42,14,36,92,0,89,89,89,89,1,28,63,26,.,0,0,0,0,0,0,0,171,171,171,166,0.971,34,5,27,144,0
CT-512,161,146,146,1,161,0,0,22,81,80,0,161,146,146,1,0,6,22,81,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,427,427,427,304,0.712,83,80,232,195,.
DC-500,6243,6161,5312,0.862,3317,2926,0,932,2882,3341,20,3317,3235,3108,0.961,1174,0,330,1058,2243,16,2926,2926,2926,2204,0.753,602,1824,1098,4,0,0,0,0,0,0,0,6452,6452,6417,3896,0.607,5014,956,3214,3238,0
DE-500,1239,1166,603,0.517,529,700,10,200,610,629,0,529,456,289,0.634,100,147,68,204,325,0,700,700,700,304,0.434,132,406,294,.,10,10,10,10,1,10,0,508,508,508,297,0.585,220,25,73,435,0
FL-500,771,684,527,0.77,434,337,0,80,297,474,0,434,371,333,0.898,0,0,30,146,288,0,337,337,313,194,0.62,50,151,186,.,0,0,0,0,0,0,0,194,194,194,102,0.526,18,1,3,191,0
FL-501,1265,1126,706,0.627,448,792,25,155,451,814,0,448,346,174,0.503,0,0,52,114,334,0,792,792,755,507,0.672,103,337,455,.,25,25,25,25,1,25,0,891,891,891,317,0.356,86,135,352,539,0
FL-502,2218,2095,1981,0.946,1320,853,45,165,433,1785,0,1320,1251,1186,0.948,0,12,82,247,1073,0,853,853,799,750,0.939,83,186,667,0,45,45,45,45,1,45,0,706,706,706,331,0.469,272,16,65,641,0
FL-503,416,390,274,0.703,222,194,0,32,152,256,8,222,196,144,0.735,0,10,11,54,160,8,194,194,194,130,0.67,21,98,96,0,0,0,0,0,0,0,0,134,134,134,134,1.0,22,23,66,68,0
FL-504,598,468,468,1,105,493,0,89,355,243,0,105,38,38,1,0,3,14,42,63,0,493,493,430,430,1,75,313,180,0,0,0,0,0,0,0,0,228,228,228,143,0.627,70,21,71,157,0
FL-505,403,341,196,0.575,164,239,0,101,198,205,0,164,126,108,0.857,110,35,49,98,66,0,239,239,215,88,0.409,52,100,139,0,0,0,0,0,0,0,0,75,75,75,75,1.0,75,0,0,75,0
FL-506,696,614,456,0.743,286,410,0,90,234,462,0,286,249,162,0.651,49,120,44,103,183,0,410,410,365,294,0.805,46,131,279,0,0,0,0,0,0,0,0,430,430,430,430,1.0,143,79,194,236,0
FL-507,2824,2555,2093,0.819,1094,1705,25,338,1274,1532,18,1094,900,682,0.758,0,285,92,358,736,0,1705,1705,1630,1386,0.85,246,916,771,18,25,25,25,25,1,25,0,933,933,933,209,0.224,161,29,119,814,0
FL-508,504,428,165,0.386,253,251,0,72,221,283,0,253,185,53,0.286,80,45,21,106,147,0,251,251,243,112,0.461,51,115,136,.,0,0,0,0,0,0,0,458,458,458,434,0.948,195,31,93,365,0
FL-509,233,185,185,1,97,136,0,63,209,12,12,97,49,49,1,0,0,25,85,0,12,136,136,136,136,1,38,124,12,.,0,0,0,0,0,0,0,306,306,306,295,0.964,143,69,123,183,0
FL-510,1700,1559,1279,0.82,832,868,0,287,820,880,0,832,691,574,0.831,110,19,95,370,462,0,868,868,868,705,0.812,192,450,418,.,0,0,0,0,0,0,0,1252,1252,1252,737,0.589,268,232,517,735,0
FL-511,822,772,602,0.78,260,562,0,57,248,574,0,260,210,170,0.81,0,22,19,89,171,0,562,562,562,432,0.769,38,159,403,.,0,0,0,0,0,0,0,347,347,347,317,0.914,146,0,0,347,0
FL-512,218,174,138,0.793,72,146,0,80,164,54,0,72,28,28,1,0,50,18,36,36,0,146,146,146,110,0.753,62,128,18,.,0,0,0,0,0,0,0,41,41,41,5,0.122,0,0,0,41,0
FL-513,873,833,601,0.721,126,747,0,128,555,318,0,126,106,41,0.387,132,3,13,58,68,0,747,747,727,560,0.77,115,497,250,.,0,0,0,0,0,0,0,234,234,234,231,0.987,44,57,177,57,0
FL-514,417,349,304,0.871,220,197,0,30,305,112,0,220,152,152,1,30,0,9,176,44,0,197,197,197,152,0.772,21,129,68,0,0,0,0,0,0,0,0,69,69,69,69,1.0,10,36,56,13,0
FL-515,272,239,234,0.979,84,188,0,50,133,139,0,84,51,51,1,16,48,9,39,45,0,188,188,188,183,0.973,41,94,94,.,0,0,0,0,0,0,0,35,35,35,0,0.0,0,0,0,35,0
FL-516,71,71,71,1,40,31,0,7,40,31,0,40,40,40,1,0,0,2,30,10,0,31,31,31,31,1,5,10,21,0,0,0,0,0,0,0,0,51,51,51,51,1.0,6,8,23,28,0
FL-517,125,125,16,0.128,64,61,0,25,46,79,0,64,64,0,0,0,0,3,8,56,0,61,61,61,16,0.262,22,38,23,.,0,0,0,0,0,0,0,68,68,68,17,0.25,28,8,22,46,0
FL-518,107,57,57,1,56,51,0,5,40,55,12,56,14,14,1,0,0,3,32,12,12,51,51,43,43,1,2,8,43,0,0,0,0,0,0,0,0,11,11,11,11,1.0,11,0,0,11,0
FL-519,224,168,168,1,180,44,0,26,73,139,12,180,124,124,1,0,0,26,73,95,12,44,44,44,44,1,.,.,44,.,0,0,0,0,0,0,0,172,172,172,64,0.372,144,53,138,34,0
FL-520,433,313,265,0.847,201,232,0,69,209,204,20,201,87,53,0.609,20,68,45,143,46,12,232,232,226,212,0.938,24,66,158,8,0,0,0,0,0,0,0,98,98,98,98,1.0,15,16,41,57,0
FL-600,3486,2986,2401,0.804,1630,1828,28,488,1770,1716,0,1630,1501,1285,0.856,0,61,247,853,777,0,1828,1828,1457,1088,0.747,241,917,911,.,28,28,28,28,1,28,0,3828,3828,3828,3351,0.875,886,554,1846,1912,70
FL-601,2213,2151,1354,0.629,774,1404,35,175,609,1570,34,774,712,613,0.861,200,432,50,212,542,20,1404,1404,1404,706,0.503,125,397,993,14,35,35,35,35,1,35,0,1635,1635,1327,768,0.579,320,342,892,743,0
FL-602,224,212,164,0.774,64,156,4,46,90,134,0,64,52,52,1,0,16,13,28,36,0,156,156,156,108,0.692,33,62,94,0,4,4,4,4,1,4,0,81,81,81,81,1.0,0,1,6,75,0
FL-603,520,440,239,0.543,260,260,0,28,117,403,0,260,180,160,0.889,0,0,24,105,155,0,260,260,260,79,0.304,4,12,248,.,0,0,0,0,0,0,0,302,302,302,99,0.328,59,200,206,96,0
FL-604,437,379,379,1,247,190,0,34,110,327,0,247,189,189,1,0,41,20,62,185,0,190,190,190,190,1,14,48,142,.,0,0,0,0,0,0,0,195,195,195,156,0.8,54,14,33,162,0
FL-605,843,600,524,0.873,385,442,16,99,353,480,10,385,241,220,0.913,0,0,50,182,193,10,442,442,343,288,0.84,49,171,271,0,16,16,16,16,1,16,0,1058,1058,1058,523,0.494,110,170,625,433,0
FL-606,359,275,241,0.876,244,115,0,34,107,252,0,244,184,184,1,0,5,21,65,179,0,115,115,91,57,0.626,13,42,73,0,0,0,0,0,0,0,0,60,60,60,44,0.733,14,6,12,48,0
GA-500,4720,4409,3413,0.774,2201,2499,20,618,1709,2985,26,2201,2101,1371,0.653,152,230,241,623,1578,0,2499,2499,2308,2042,0.885,377,1086,1387,26,20,20,0,0,0,20,0,1523,1523,1523,1376,0.903,518,306,563,960,0
GA-501,2794,1594,1356,0.851,1432,1362,0,584,1875,902,17,1432,746,613,0.822,0,50,232,725,690,17,1362,1362,848,743,0.876,352,1150,212,0,0,0,0,0,0,0,0,2144,2144,2118,1618,0.764,306,415,848,1296,0
GA-503,154,138,104,0.754,64,90,0,29,101,53,0,64,48,48,1,0,0,8,23,41,0,90,90,90,56,0.622,21,78,12,.,0,0,0,0,0,0,0,90,90,90,86,0.956,52,6,15,75,0
GA-504,531,531,506,0.953,319,212,0,45,159,372,0,319,319,300,0.94,0,0,20,75,244,0,212,212,212,206,0.972,25,84,128,.,0,0,0,0,0,0,0,165,165,165,165,1.0,0,110,122,43,0
GA-505,354,317,86,0.271,290,64,0,30,114,236,4,290,253,22,0.087,0,4,30,114,172,4,64,64,64,64,1,0,0,64,0,0,0,0,0,0,0,0,171,171,171,171,1.0,62,0,0,171,0
GA-506,398,319,307,0.962,109,289,0,79,233,165,0,109,77,77,1,0,8,18,44,65,0,289,289,242,230,0.95,61,189,100,.,0,0,0,0,0,0,0,149,149,149,93,0.624,30,31,73,76,0
GA-507,583,583,357,0.612,253,330,0,37,154,421,8,253,253,213,0.842,75,0,11,73,172,8,330,330,330,144,0.436,26,81,249,.,0,0,0,0,0,0,0,580,580,580,580,1.0,334,106,373,207,0
GU-500,259,206,194,0.942,109,150,0,59,181,66,12,109,66,54,0.818,0,7,24,63,34,12,150,150,140,140,1,35,118,32,.,0,0,0,0,0,0,0,130,130,130,57,0.438,68,17,69,61,0
HI-500,947,839,839,1,376,571,0,170,668,279,0,376,288,288,1,0,3,62,230,146,0,571,571,551,551,1,108,438,133,0,0,0,0,0,0,0,0,281,281,281,281,1.0,147,22,66,215,0
