Column Name,Data Type,Description
Dedicated Veteran Beds (RRH),Integer,The number of beds in RRH that are dedicated to veterans
Dedicated Youth Beds (RRH),Integer,The number of beds in RRH that are dedicated to youth
Total Year-Round Beds (PSH),Integer,The total number of year-round beds in permanent supportive housing (PSH)
Total Non-DV Year-Round Beds (PSH),Integer,The total number of non-DV year-round beds in PSH
Total HMIS Year-Round Beds (PSH),Integer,The total number of year-round beds in PSH that are included in HMIS
HMIS Participation Rate for Year-Round Beds (PSH),Float,The percentage of year-round beds in PSH that are included in HMIS
Total Units for Households with Children (PSH),Integer,The total number of units in PSH that are designated for households with children
Total Beds for Households with Children (PSH),Integer,The total number of beds in PSH that are designated for households with children
Total Beds for Households without Children (PSH),Integer,The total number of beds in PSH that are designated for households without children
Total Beds for Households with only Children (PSH),Integer,The total number of beds in PSH that are designated for households with only children
Dedicated Veteran Beds (PSH),Integer,The number of beds in PSH that are dedicated to veterans
Dedicated Youth Beds (PSH),Integer,The number of beds in PSH that are dedicated to youth
Dedicated Chronically Homeless Beds (PSH),Integer,The number of beds in PSH that are dedicated to chronically homeless individuals
Total Year-Round Beds (OPH),Integer,The total number of year-round beds in the program.
Total Non-DV Year-Round Beds (OPH),Integer,The total number of year-round beds in the program that are not for victims of domestic violence.
Total HMIS Year-Round Beds (OPH),Integer,The total number of year-round beds in the program that are in the HMIS database.
HMIS Participation Rate for Year-Round Beds (OPH),Float,The percentage of year-round beds in the program that are in the HMIS database.
Total Units for Households with Children (OPH),Integer,The total number of units in the program that are for households with children.
Total Beds for Households with Children (OPH),Integer,The total number of beds in the program that are for households with children.
Total Beds for Households without Children (OPH),Integer,The total number of beds in the program that are for households without children.
Total Beds for Households with only Children (OPH),Integer,The total number of beds in the program that are for households with only children.
Dedicated Veteran Beds (OPH),Integer,The total number of beds in the program that are dedicated to veterans.
Dedicated Youth Beds (OPH),Integer,The total number of beds in the program that are dedicated to youth.
